S/N,Journal ID,Journal Title,eISSN,Journal Imprint,Main Discipline,Publishing Model,OA License,URL
790,10742,Health Services and Outcomes Research Methodology,1572-9400,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10742
791,380,Heart and Vessels,1615-2573,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/380
792,10741,Heart Failure Reviews,1573-7322,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10741
793,231,Heat and Mass Transfer,1432-1181,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/231
794,10730,HEC Forum,1572-8498,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10730
795,16024,HeilberufeScience,2190-2100,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/16024
796,12072,Hepatology International,1936-0541,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12072
797,41437,Heredity,1365-2540,Springer Nature,Biomedicine,Springer Hybrid,CC BY,https://springer.com/41437
798,10029,Hernia,1248-9204,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10029
799,59,Herz,1615-6692,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/59
800,399,Herzschrittmachertherapie + Elektrophysiologie,1435-1544,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/399
801,40292,High Blood Pressure & Cardiovascular Prevention,1179-1985,Adis,Medicine & Public Health,Springer Hybrid,CC BY-NC,https://springer.com/40292
802,44210,High Entropy Alloys & Materials,2731-5827,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/44210
803,11085,High Temperature Corrosion of Materials,2731-8400,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11085
804,10734,Higher Education,1573-174X,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/10734
805,41307,Higher Education Policy,1740-3863,Palgrave Macmillan,Education,Springer Hybrid,CC BY,https://springer.com/41307
806,418,Histochemistry and Cell Biology,1432-119X,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/418
807,41636,Historical Archaeology,2328-1103,Springer,Social Sciences,Springer Hybrid,CC BY,https://springer.com/41636
808,40656,History and Philosophy of the Life Sciences,1742-6316,Springer,Philosophy,Springer Hybrid,CC BY,https://springer.com/40656
809,40702,HMD Praxis der Wirtschaftsinformatik,2198-2775,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/40702
810,106,HNO,1433-0458,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/106
811,41412,Homo Oeconomicus,2366-6161,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/41412
812,42000,Hormones,2520-8721,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/42000
813,13580,"Horticulture, Environment, and Biotechnology",2211-3460,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/13580
814,42087,Human Arenas,2522-5804,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/42087
815,13577,Human Cell,1749-0774,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/13577
816,10745,Human Ecology,1572-9915,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10745
817,439,Human Genetics,1432-1203,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/439
818,12110,Human Nature,1936-4776,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12110
819,12142,Human Rights Review,1874-6306,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/12142
820,10746,Human Studies,1572-851X,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10746
821,42454,Human-Intelligent Systems Integration,2524-4884,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/42454
822,41463,Humanistic Management Journal,2366-6048,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/41463
823,10743,Husserl Studies,1572-8501,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10743
824,10750,Hydrobiologia,1573-5117,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10750
825,10040,Hydrogeology Journal,1435-0157,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/10040
826,41440,Hypertension Research,1348-4214,Springer Nature,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/41440
827,10228,Ichthyological Research,1616-3915,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/10228
828,40319,IIC - International Review of Intellectual Property and Competition Law,2195-0237,Springer,Law,Springer Hybrid,CC BY,https://springer.com/40319
829,251,Immunogenetics,1432-1211,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/251
830,12026,Immunologic Research,1559-0755,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/12026
831,40203,In Silico Pharmacology,2193-9616,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/40203
832,11626,In Vitro Cellular & Developmental Biology - Animal,1543-706X,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/11626
833,11627,In Vitro Cellular & Developmental Biology - Plant,1475-2689,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/11627
834,44164,In vitro models,2731-3441,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/44164
835,41775,Indian Economic Review,2520-1778,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/41775
836,40098,Indian Geotechnical Journal,2277-3347,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/40098
837,12291,Indian Journal of Clinical Biochemistry,0974-0422,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12291
838,12664,Indian Journal of Gastroenterology,0975-0711,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12664
839,40944,Indian Journal of Gynecologic Oncology,2363-8400,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/40944
840,12288,Indian Journal of Hematology and Blood Transfusion,0974-0449,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12288
841,12088,Indian Journal of Microbiology,0973-7715,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12088
842,43465,Indian Journal of Orthopaedics,1998-3727,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/43465
843,12070,Indian Journal of Otolaryngology and Head & Neck Surgery,0973-7707,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12070
844,12098,Indian Journal of Pediatrics,0973-7693,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12098
845,12648,Indian Journal of Physics,0974-9845,Springer,Physics,Springer Hybrid,CC BY,https://springer.com/12648
846,12262,Indian Journal of Surgery,0973-9793,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12262
847,13193,Indian Journal of Surgical Oncology,0976-6952,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/13193
848,12055,Indian Journal of Thoracic and Cardiovascular Surgery,0973-7723,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12055
849,13312,Indian Pediatrics,0974-7559,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/13312
850,42360,Indian Phytopathology,2248-9800,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/42360
851,15010,Infection,1439-0973,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/15010
852,11,Inflammation Research,1420-908X,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/11
853,10787,Inflammopharmacology,1568-5608,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10787
854,287,Informatik Spektrum,1432-122X,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/287
855,41884,Information Geometry,2511-249X,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/41884
856,10257,Information Systems and e-Business Management,1617-9854,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10257
857,10796,Information Systems Frontiers,1572-9419,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10796
858,40558,Information Technology & Tourism,1943-4294,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/40558
859,10799,Information Technology and Management,1573-7667,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10799
860,11334,Innovations in Systems and Software Engineering,1614-5054,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11334
861,10755,Innovative Higher Education,1573-1758,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/10755
862,41062,Innovative Infrastructure Solutions,2364-4184,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/41062
863,40,Insectes Sociaux,1420-9098,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/40
864,11251,Instructional Science,1573-1952,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/11251
865,20,Integral Equations and Operator Theory,1420-8989,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/20
866,40192,Integrating Materials and Manufacturing Innovation,2193-9772,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/40192
867,12124,Integrative Psychological and Behavioral Science,1936-3567,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/12124
868,11370,Intelligent Service Robotics,1861-2784,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/11370
869,134,Intensive Care Medicine,1432-1238,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC,https://springer.com/134
870,10751,Interactions,3005-0731,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10751
871,10780,Interchange,1573-1790,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/10780
872,12539,Interdisciplinary Sciences: Computational Life Sciences,1867-1462,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12539
873,41309,Interest Groups & Advocacy,2047-7422,Palgrave Macmillan,Political Science and International Relations,Springer Hybrid,CC BY-NC-ND,https://springer.com/41309
874,11739,Internal and Emergency Medicine,1970-9366,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/11739
875,11294,International Advances in Economic Research,1573-966X,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/11294
876,10778,International Applied Mechanics,1573-8582,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10778
877,420,International Archives of Occupational and Environmental Health,1432-1246,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/420
878,13691,International Cancer Conference Journal,2192-3183,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/13691
879,40636,International Communication of Chinese Culture,2197-4241,Springer,Social Sciences,Springer Hybrid,CC BY,https://springer.com/40636
880,43576,International Criminology,2662-9976,Springer,Criminology and Criminal Justice,Springer Hybrid,CC BY-NC-ND,https://springer.com/43576
881,43439,International Cybersecurity Law Review,2662-9739,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/43439
882,10368,International Economics and Economic Policy,1612-4812,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10368
883,11365,International Entrepreneurship and Management Journal,1555-1938,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/11365
884,10784,"International Environmental Agreements: Politics, Law and Economics",1573-1553,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/10784
885,10775,International Journal for Educational and Vocational Guidance,1573-1782,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/10775
886,11153,International Journal for Philosophy of Religion,1572-8684,Springer,Philosophy,Springer Hybrid,CC BY,https://springer.com/11153
887,10447,International Journal for the Advancement of Counselling,1573-3246,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10447
888,11196,International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique,1572-8722,Springer,Law,Springer Hybrid,CC BY-NC-ND,https://springer.com/11196
889,12572,International Journal of Advances in Engineering Sciences and Applied Mathematics,0975-5616,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/12572
890,42405,International Journal of Aeronautical and Space Sciences,2093-2480,"The Korean Society for Aeronautical & Space Sciences, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/42405
891,40819,International Journal of Applied and Computational Mathematics,2199-5796,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/40819
892,41042,International Journal of Applied Positive Psychology,2364-5059,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/41042
893,40593,International Journal of Artificial Intelligence in Education,1560-4306,Springer,Computer Science,Springer Hybrid,CC BY,https://springer.com/40593
894,12239,International Journal of Automotive Technology,1976-3832,"The Korean Society of Automotive Engineers, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/12239
895,12529,International Journal of Behavioral Medicine,1532-7558,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12529
896,484,International Journal of Biometeorology,1432-1254,Springer,Environment,Springer Hybrid,CC BY,https://springer.com/484
897,42380,International Journal of Bullying Prevention,2523-3661,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/42380
898,40999,International Journal of Civil Engineering,2383-3874,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/40999
899,10147,International Journal of Clinical Oncology,1437-7772,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10147
900,11096,International Journal of Clinical Pharmacy,2210-7711,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/11096
901,41811,International Journal of Cognitive Behavioral Therapy,3059-3042,Springer,Psychology,Springer Hybrid,CC BY,https://springer.com/41811
902,42413,International Journal of Community Well-Being,2524-5309,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/42413
903,11548,International Journal of Computer Assisted Radiology and Surgery,1861-6429,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/11548
904,11263,International Journal of Computer Vision,1573-1405,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11263
905,11412,International Journal of Computer-Supported Collaborative Learning,1556-1615,Springer,Education,Springer Hybrid,CC BY,https://springer.com/11412
906,41060,International Journal of Data Science and Analytics,2364-4168,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/41060
907,13410,International Journal of Diabetes in Developing Countries,1998-3832,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/13410
908,42803,International Journal of Digital Humanities,2524-7840,Springer,Statistics,Springer Hybrid,CC BY-NC-ND,https://springer.com/42803
